station_id,mac_address,name,latitude,longitude,elevation_ft,indoor,dashboard_url,GEOID,NAME
5d15337a57f7863fc4265751,84:0D:8E:A1:E9:EC,Doe Hollow,33.4486296,-84.4550443,935.6,False,https://ambientweather.net/dashboard/bd081969cc3b39b2cfb19b106b6424f2,13113,Fayette
61bc492c9c3b3e0001be77e6,C4:5B:BE:6D:A5:F0,Vortex100 Weather,33.4322397,-84.4524835,904.2,False,https://ambientweather.net/dashboard/1a5f13c67c21cc1fabc45bbb1c806167,13113,Fayette
5f5006044724360001d576be,FC:F5:C4:98:6F:F2,My Weather Station,33.4155278,-84.4696683,848.1,False,https://ambientweather.net/dashboard/f3995e8f279f8375ebaaf7196b62e035,13113,Fayette
5ed18a2277c3c600010e2ac2,F4:CF:A2:79:EE:63,RonJ,33.41416361258716,-84.47352165902566,882.6,False,https://ambientweather.net/dashboard/0f701d532a02884398147b6e68b13b11,13113,Fayette
65ce9f10133e392302364d36,48:3F:DA:88:8B:39,Mike’s Station,33.407535274406975,-84.49727864155149,818.2,False,https://ambientweather.net/dashboard/0b2df76cec35ea9989f36d0b7fb47a1f,13113,Fayette
65b0511c7740438af1cf90a4,48:E7:29:54:D6:F3,The Ridge,33.432758,-84.49702289999999,837.5,False,https://ambientweather.net/dashboard/87b5974b359b489f38b1ec4a270ca756,13113,Fayette
675659fe83501482b5ed391c,C8:C9:A3:27:A5:AA,Jason,33.4272,-84.4388,898.3,False,https://ambientweather.net/dashboard/ffad7fc3bcdce66235f2c3da231eba12,13113,Fayette
6965b8964db1ecaf406250d4,E8:DB:84:E4:08:97,Hilo Weather,33.413,-84.4209,901.9,False,https://ambientweather.net/dashboard/392371c310acedc7bdaa94e5de87bf92,13113,Fayette
67574f95d55b49645fd2515d,48:E7:29:7C:43:11,Clinepooldeck,33.4131,-84.4381,958.3,False,https://ambientweather.net/dashboard/4a3b2086d732771c3b256be2923bad12,13113,Fayette
6670d4fc93386f55866e586e,C8:C9:A3:14:D4:2B,ROSSES PT,33.4645512,-84.6260659,872.9,False,https://ambientweather.net/dashboard/521ebce1163d3a7a47ab57c055ff2804,13113,Fayette
65c81c441228b5b470ea85f5,C8:C9:A3:0E:D7:E4,Tyrone Weather Observatory,33.4793565,-84.5681185,935.4,False,https://ambientweather.net/dashboard/094ce15b40d921c3a2d8b50246008e98,13113,Fayette
60aafdba15ca9d0001d15627,D8:F1:5B:15:81:1B,Brandy Farms,33.4693885,-84.5470706,901.4,False,https://ambientweather.net/dashboard/846059fdb3efabd33f37c6e44f014334,13113,Fayette
606f5a4a1bf95d0001205689,40:F5:20:3A:46:3F,Osprey,33.4949124,-84.475813,928.6,False,https://ambientweather.net/dashboard/bb5e41e0e7b52184dafa9b14c9389e12,13113,Fayette
66d6f192655402ef87fc0dfe,48:E7:29:69:30:A3,US Soccer Weather Station,33.5021885,-84.515626,914.8,False,https://ambientweather.net/dashboard/b00a449491360d21f1c1eb1094c70572,13113,Fayette
69a5e48daafb27c80b39f637,8C:4F:00:4F:46:E9,Weather Station,33.481,-84.481,867.0,False,https://ambientweather.net/dashboard/3a9e4b89aeb05d8d3b45bebbb35f0a8a,13113,Fayette
5b267ba3650a4800046336c4,DC:4F:22:20:51:44,Fort Husack,33.4898,-84.4613,877.5,False,https://ambientweather.net/dashboard/4da201f015c1127f73826641e120438f,13113,Fayette
59ba7b087bf004000d0701fb,A0:20:A6:0B:D4:DD,KGAHUNT12,33.478414148192776,-84.43295955541817,874.9,False,https://ambientweather.net/dashboard/97beec9b6c7f5ab479da48e83c53298b,13113,Fayette
60eca27431211700013fe61c,E8:DB:84:E6:4A:E7,My Weather Station,33.36821383992139,-84.20563773412135,896.6,False,https://ambientweather.net/dashboard/40e18bce25478b2ee0a52928dc783376,13151,Henry
62ed63d0c7d7180001477adb,C4:5B:BE:6C:7E:11,Weather Station White,33.37607029999999,-84.2100729,871.2,False,https://ambientweather.net/dashboard/c5f4950d038138ba1df472c1bf4bfb31,13151,Henry
6109f2bf12d7f900014f8641,E8:DB:84:E6:24:BA,,33.363465648224704,-84.16780884826717,836.0,False,https://ambientweather.net/dashboard/e642448e3a5c88e732685c652a317208,13151,Henry
64c82240dc4c69c7350950e6,24:D7:EB:CF:2A:C0,DC's Weather Stati,33.3589451,-84.1563327,811.8,False,https://ambientweather.net/dashboard/7b686ee51b9ecce4f30e8a022ef57974,13151,Henry
6081ce499cf6e50001b5be9e,50:02:91:E5:7A:19,Pond Temp,33.3739142,-84.1904017,847.6,False,https://ambientweather.net/dashboard/d38b5afab1b349c6815cad2c5562dd66,13151,Henry
68d538de9f2085f01afbde21,4C:EB:D6:20:27:B3,Burg Rd WX,33.3438,-84.0448,746.0,False,https://ambientweather.net/dashboard/052b0da49144546999159e0291c89f42,13151,Henry
5cc4e64e7bf09142856962fb,80:7D:3A:7C:44:4B,Nice Hat,33.3870578,-84.2829784,884.5,False,https://ambientweather.net/dashboard/3e00c73a19fab4477282b092bd36ba14,13151,Henry
64ec09c6764cd1bbff7ec6be,84:F3:EB:9D:35:10,Heather Weather,33.4180351,-84.2585398,949.1,False,https://ambientweather.net/dashboard/526269eb461ee1a4af682242e8bd24ba,13151,Henry
5cabeee516f155540efcbdc2,80:7D:3A:7C:4E:62,My Weather Station,33.42615584503582,-84.21913640104981,908.4,False,https://ambientweather.net/dashboard/280b9a613d7160cd02f8582b4ff3a9d6,13151,Henry
64933fcf0a4e98364f829308,C4:5B:BE:6E:58:4E,My weather station ,33.4127649,-84.2070875,916.1,False,https://ambientweather.net/dashboard/fee5f4716f026b65b12a4ed5461a22bf,13151,Henry
670fd59fd908bb09494b686f,E8:DB:84:F2:E0:31,Larry ,33.4348,-84.1435,861.3,False,https://ambientweather.net/dashboard/21edfbfca7df108ce9f7caf793044ece,13151,Henry
68b4a2c10772d8a6f75cdec2,C4:D8:D3:B8:88:75,W station ,33.4051,-84.0522,713.9,False,https://ambientweather.net/dashboard/ffb37e2c4f299e18fb884fd25b759c78,13151,Henry
69a3827ad8d27c7c2d622cde,9C:13:9E:6E:13:C4,WhistlePig WX,33.4391,-84.0858,751.2,False,https://ambientweather.net/dashboard/d1235367c8c16dd82fd57d21fb0d1f00,13151,Henry
5db657cba51b68034f653c3a,84:0D:8E:B9:D1:0A,Budrow ,33.4484456,-83.98585530000003,636.9,False,https://ambientweather.net/dashboard/944e01978958b3200b4d62929b5d6fba,13151,Henry
63fc4d690c748c00017d207d,C4:5B:BE:5D:14:D8,US Navy,33.44215,-83.95505589999999,618.5,False,https://ambientweather.net/dashboard/b45d622cabed3b013e4e1014b6d1dee1,13151,Henry
5e8fa2b0b431d964c6c6a7f8,80:7D:3A:7C:37:E4,Lake Jodeco GA,33.49875770000001,-84.28280989999999,851.0,False,https://ambientweather.net/dashboard/01b5e42b720226bca3027bca9fcd2ae7,13151,Henry
6467fc025f4a85fc87df77f1,30:83:98:A5:53:9C,My Weather Station,33.4987577,-84.28280989999999,851.0,False,https://ambientweather.net/dashboard/6808fc7dd12216a01c1d8ccc832bbe0c,13151,Henry
